slug,phase,event_time,description
sl-10-22,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
sl-10-22,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
sl-10-22,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
sl-10-22,pre_launch,00:16:00,2nd stage LOX loading begins
sl-10-22,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
sl-10-22,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
sl-10-22,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
sl-10-22,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
sl-10-22,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
sl-10-22,pre_launch,00:00:00,Falcon 9 liftoff
sl-10-22,post_launch,00:01:12 ,Max Q (Moment of peak mechanical stress on the rocket)
sl-10-22,post_launch,00:02:24 ,1st stage main engine cutoff (MECO)
sl-10-22,post_launch,00:02:28 ,1st and 2nd stages separate
sl-10-22,post_launch,00:02:36	,2nd stage engine starts (SES-1)
sl-10-22,post_launch,00:02:56 ,Fairing separation 
sl-10-22,post_launch,00:06:08 ,1st stage entry burn begins
sl-10-22,post_launch,00:06:35	,1st stage entry burn ends
sl-10-22,post_launch,00:07:57	,1st stage landing burn begins
sl-10-22,post_launch,00:08:21 ,1st stage landing 
sl-10-22,post_launch,00:08:39 ,2nd stage engine cutoff (SECO-1)
sl-10-22,post_launch,00:54:47	,2nd stage engine starts (SES-2)
sl-10-22,post_launch,00:54:48 ,2nd stage engine cutoff (SECO-2)
sl-10-22,post_launch,01:04:09	,Starlink satellites deploy
crew11,pre_launch,3:30 p.m. ET | January 14,Dragon Hatch Closure
crew11,pre_launch,5:05 p.m. ET | January 14,Dragon Autonomously Undocks from the International Space Station
crew11,pre_launch,5:05 p.m. ET | January 14,Departure Burn 0
crew11,pre_launch,5:10 p.m. ET | January 14,Departure Burn 1
crew11,pre_launch,5:58 p.m. ET | January 14,Departure Burn 2
crew11,pre_launch,6:44 p.m. ET | January 14,Departure Burn 3
crew11,pre_launch,11:51 p.m. PT | January 14,Deorbit Burn
crew11,pre_launch,12:05 a.m. PT | January 15,Trunk Jettison
crew11,pre_launch,12:09 a.m. PT | January 15,Nosecone Closed
crew11,pre_launch,12:37 a.m. PT | January 15,Drogue Parachutes Deploy
crew11,pre_launch,12:38 a.m. PT | January 15,Main Parachutes Deploy
crew11,pre_launch,12:41 a.m. PT | January 15,Dragon Splashdown
crew11,post_launch,00:01:12	,Max Q (moment of peak mechanical stress on the rocket)
crew11,post_launch,00:02:24,1st stage main engine cutoff (MECO) 
crew11,post_launch,00:02:27	,1st and 2nd stages separate 
crew11,post_launch,00:02:35	,2nd stage engine starts 
crew11,post_launch,00:02:41	,Boostback Burn Starts
crew11,post_launch,00:03:28	,Boostback Burn Ends
crew11,post_launch,00:06:20	,1st stage entry burn starts
crew11,post_launch,00:06:33	,1st stage entry burn ends
crew11,post_launch,00:07:27	,1st stage landing burn starts
crew11,post_launch,00:07:43	,1st stage landing 
crew11,post_launch,00:08:46	,2nd stage engine cutoff (SECO-1) 
crew11,post_launch,00:09:36	,Dragon separates from 2nd stage
crew11,post_launch,00:10:24	,Dragon nosecone open sequence begins
sl-6-78,pre_launch,00:38:00,SpaceX Launch Director verifies go for propellant load
sl-6-78,pre_launch,00:35:00,RP-1 (rocket grade kerosene) loading begins
sl-6-78,pre_launch,00:35:00,1st stage LOX (liquid oxygen) loading begins
sl-6-78,pre_launch,00:16:00,2nd stage LOX loading begins
sl-6-78,pre_launch,00:07:00,Falcon 9 begins engine chill prior to launch
sl-6-78,pre_launch,00:01:00,Command flight computer to begin final prelaunch checks
sl-6-78,pre_launch,00:01:00,Propellant tank pressurization to flight pressure begins
sl-6-78,pre_launch,00:00:45,SpaceX Launch Director verifies go for launch
sl-6-78,pre_launch,00:00:03,Engine controller commands engine ignition sequence to start
sl-6-78,pre_launch,00:00:00,Falcon 9 liftoff
sl-6-78,post_launch,00:01:12,Max Q (moment of peak mechanical stress on the rocket)
sl-6-78,post_launch,00:02:24,1st stage main engine cutoff (MECO)
sl-6-78,post_launch,00:02:28,1st and 2nd stages separate
sl-6-78,post_launch,00:02:34,2nd stage engine starts (SES-1)
sl-6-78,post_launch,00:02:57,Fairing separation
sl-6-78,post_launch,00:06:07,1st stage entry burn begins
sl-6-78,post_launch,00:06:34,1st stage entry burn ends
sl-6-78,post_launch,00:07:59,1st stage landing burn begins
